year,all_events,soc_match_pct,all_R_string_mohm_p50,common_events,common_R_string_mohm_p25,common_R_string_mohm_p50,common_R_string_mohm_p75,common_R_per_cell_mohm_p50,common_event_C_rate_p50,common_R_vs_2018_pct,common_R_vs_2018_pct_definition
2017,20009,99.705133,53.058231,5813,43.467459,51.333696,59.480893,0.171112,0.066081,98.393825,index with 2018 = 100; not percentage increase from 2018
2018,36099,99.678661,53.576063,8342,44.812114,52.171664,60.072431,0.173906,0.064606,100.0,index with 2018 = 100; not percentage increase from 2018
2019,52242,99.837296,57.700289,20644,48.472161,56.881967,66.480991,0.189607,0.060828,109.028468,index with 2018 = 100; not percentage increase from 2018
2020,38446,99.576029,58.561981,8742,51.056865,60.203794,71.018451,0.200679,0.066486,115.395578,index with 2018 = 100; not percentage increase from 2018
2021,35250,97.991489,62.961973,1826,76.540107,114.225485,245.005965,0.380752,0.076937,218.941616,index with 2018 = 100; not percentage increase from 2018
2022,47021,100.0,67.591016,7486,73.29622,86.824218,125.890833,0.289414,0.104583,166.420257,index with 2018 = 100; not percentage increase from 2018
2023,14316,100.0,86.713684,9456,77.832588,90.194317,102.348291,0.301054,0.098136,172.879891,index with 2018 = 100; not percentage increase from 2018
2024,11282,100.0,89.60628,4434,86.446163,99.895561,112.900187,0.334099,0.091751,191.474744,index with 2018 = 100; not percentage increase from 2018
2025,3539,100.0,105.8919,2714,92.965638,107.420261,118.775468,0.359265,0.057613,205.897707,index with 2018 = 100; not percentage increase from 2018
