year,setpoint_band_kW,common_cells,matched_support_hours,ac_tracking_ratio,dc_to_setpoint_ratio,ac_over_dc_ratio,ac_MAE_kW,mean_cell_voltage_V,mean_current_A,fine_cell_definition,aggregation_definition,ac_dc_caveat,common_cells_definition,mean_cell_voltage_definition
2022,100-200,49,6.729722,0.996727,1.019615,0.978219,2.228693,1.985611,263.338014,25 kW setpoint x 2% SOC x 1 C cabinet-air-temperature bins; each common cell >=0.05 h in each year,"Within-cell time-integrated ratios; summary is weighted mean of cell ratios using min(hours_2022,hours_2024) as common-support weight","Unresolved AC/DC consistency flag; scaling, bias, timing, electrical boundary, transients, and aggregation are candidate checks, not established causes. Not efficiency or direct battery-loss attribution.","common operating-condition bins, not physical battery cells",time-weighted BMS string voltage divided by active series-cell count (300 in 2022; 299 in 2024)
2024,100-200,49,6.729722,0.990863,0.983179,1.008027,3.091502,1.979261,254.085199,25 kW setpoint x 2% SOC x 1 C cabinet-air-temperature bins; each common cell >=0.05 h in each year,"Within-cell time-integrated ratios; summary is weighted mean of cell ratios using min(hours_2022,hours_2024) as common-support weight","Unresolved AC/DC consistency flag; scaling, bias, timing, electrical boundary, transients, and aggregation are candidate checks, not established causes. Not efficiency or direct battery-loss attribution.","common operating-condition bins, not physical battery cells",time-weighted BMS string voltage divided by active series-cell count (300 in 2022; 299 in 2024)
2022,200-450,23,2.307222,0.987239,0.975772,1.011893,5.31447,1.964719,379.858791,25 kW setpoint x 2% SOC x 1 C cabinet-air-temperature bins; each common cell >=0.05 h in each year,"Within-cell time-integrated ratios; summary is weighted mean of cell ratios using min(hours_2022,hours_2024) as common-support weight","Unresolved AC/DC consistency flag; scaling, bias, timing, electrical boundary, transients, and aggregation are candidate checks, not established causes. Not efficiency or direct battery-loss attribution.","common operating-condition bins, not physical battery cells",time-weighted BMS string voltage divided by active series-cell count (300 in 2022; 299 in 2024)
2024,200-450,23,2.307222,0.972628,0.944159,1.030526,8.091339,1.94929,371.567708,25 kW setpoint x 2% SOC x 1 C cabinet-air-temperature bins; each common cell >=0.05 h in each year,"Within-cell time-integrated ratios; summary is weighted mean of cell ratios using min(hours_2022,hours_2024) as common-support weight","Unresolved AC/DC consistency flag; scaling, bias, timing, electrical boundary, transients, and aggregation are candidate checks, not established causes. Not efficiency or direct battery-loss attribution.","common operating-condition bins, not physical battery cells",time-weighted BMS string voltage divided by active series-cell count (300 in 2022; 299 in 2024)
2022,100-450,72,9.036944,0.994305,1.008422,0.986817,3.016522,1.980277,293.086933,25 kW setpoint x 2% SOC x 1 C cabinet-air-temperature bins; each common cell >=0.05 h in each year,"Within-cell time-integrated ratios; summary is weighted mean of cell ratios using min(hours_2022,hours_2024) as common-support weight","Unresolved AC/DC consistency flag; scaling, bias, timing, electrical boundary, transients, and aggregation are candidate checks, not established causes. Not efficiency or direct battery-loss attribution.","common operating-condition bins, not physical battery cells",time-weighted BMS string voltage divided by active series-cell count (300 in 2022; 299 in 2024)
2024,100-450,72,9.036944,0.986208,0.973217,1.013771,4.36801,1.971609,284.079657,25 kW setpoint x 2% SOC x 1 C cabinet-air-temperature bins; each common cell >=0.05 h in each year,"Within-cell time-integrated ratios; summary is weighted mean of cell ratios using min(hours_2022,hours_2024) as common-support weight","Unresolved AC/DC consistency flag; scaling, bias, timing, electrical boundary, transients, and aggregation are candidate checks, not established causes. Not efficiency or direct battery-loss attribution.","common operating-condition bins, not physical battery cells",time-weighted BMS string voltage divided by active series-cell count (300 in 2022; 299 in 2024)
