year,source_file,counter,event_time_of_day_UTC,pre_value,spike_value,post_value,return_seconds,swap16_of_pre_value,spike_equals_16bit_word_swap,source_locator_status,public_evidence_scope
2022,Exide1_BMS_2022.parquet,energy_charge_Wh_bms,01:41:00,703972,3185836042,703972,1.0,3185836042,True,partial: source year/file and UTC time-of-day published; full UTC date not available in public package,arithmetic-verifiable excerpt; not a fully source-locatable raw-window reproduction
2022,Exide1_BMS_2022.parquet,energy_discharge_Wh_bms,03:04:37,611791,1439629321,611791,1.0,1439629321,True,partial: source year/file and UTC time-of-day published; full UTC date not available in public package,arithmetic-verifiable excerpt; not a fully source-locatable raw-window reproduction
2024,Exide1_BMS_2024.parquet,energy_charge_Wh_bms,00:07:34,865848,909639693,865848,1.0,909639693,True,partial: source year/file and UTC time-of-day published; full UTC date not available in public package,arithmetic-verifiable excerpt; not a fully source-locatable raw-window reproduction
2024,Exide1_BMS_2024.parquet,energy_discharge_Wh_bms,05:16:24,745727,1627324427,745727,1.0,1627324427,True,partial: source year/file and UTC time-of-day published; full UTC date not available in public package,arithmetic-verifiable excerpt; not a fully source-locatable raw-window reproduction
